hiy,diy,hid,L06,L01,L02,L03,L05,L04,,"﻿'L01': ['DK1', 'DK2'],"
0,1,0,245,590,0,107,585,1332,," 'L02': ['DK1', 'DE'],"
1,1,1,345,590,0,150,585,1332,," 'L03': ['DK1', 'NO2'],"
2,1,2,376,590,0,164,585,1332,," 'L04': ['DK1', 'SE3'],"
3,1,3,382,590,0,166,585,1332,," 'L05': ['DK2', 'DE'],"
4,1,4,379,590,0,165,585,1332,," 'L06': ['DK2', 'SE4']"
5,1,5,367,590,0,160,585,1332,,
6,1,6,408,590,0,178,585,1332,,
7,1,7,545,590,0,237,585,1332,,
8,1,8,696,590,0,303,585,1332,,
9,1,9,737,590,0,321,585,1332,,
10,1,10,663,590,0,289,585,1332,,
11,1,11,685,590,0,298,585,1332,,
12,1,12,707,590,0,308,585,1332,,
13,1,13,693,590,0,301,585,1332,,
14,1,14,786,590,0,342,585,1332,,
15,1,15,1002,590,0,436,585,1332,,
16,1,16,1182,590,0,515,585,1332,,
17,1,17,1243,590,0,541,585,1332,,
18,1,18,1231,590,0,536,585,1332,,
19,1,19,1229,590,0,535,585,1332,,
20,1,20,1181,590,0,514,585,1332,,
21,1,21,1045,590,0,455,585,1332,,
22,1,22,920,590,0,401,585,1332,,
23,1,23,925,590,0,403,585,1332,,
24,2,0,778,590,0,338,585,1332,,
25,2,1,727,590,0,316,585,1332,,
26,2,2,762,590,0,332,585,1332,,
27,2,3,789,590,0,344,585,1332,,
28,2,4,785,590,0,342,585,1332,,
29,2,5,787,590,0,343,585,1332,,
30,2,6,900,590,0,392,585,1332,,
31,2,7,1040,590,0,453,585,1332,,
32,2,8,1092,590,0,475,585,1332,,
33,2,9,1088,590,0,473,585,1332,,
34,2,10,991,590,0,431,585,1332,,
35,2,11,973,590,0,423,585,1332,,
36,2,12,947,590,0,412,585,1332,,
37,2,13,1019,590,0,444,585,1332,,
38,2,14,997,590,0,434,585,1332,,
39,2,15,987,590,0,429,585,1332,,
40,2,16,1211,590,0,527,585,1332,,
41,2,17,1244,590,0,541,585,1332,,
42,2,18,1213,590,0,528,585,1332,,
43,2,19,1181,590,0,514,585,1332,,
44,2,20,1147,590,0,499,585,1332,,
45,2,21,1130,590,0,492,585,1332,,
46,2,22,1148,590,0,500,585,1332,,
47,2,23,1095,590,0,476,585,1332,,
48,3,0,778,590,0,339,585,1332,,
49,3,1,707,590,0,308,585,1332,,
50,3,2,587,590,0,256,585,1332,,
51,3,3,621,590,0,270,585,1332,,
52,3,4,773,590,0,336,585,1332,,
53,3,5,1129,590,0,492,585,1332,,
54,3,6,1466,590,0,638,585,1332,,
55,3,7,1700,590,0,740,585,1332,,
56,3,8,1662,590,0,723,585,1332,,
57,3,9,1567,590,0,682,585,853,,
58,3,10,1476,590,0,642,585,853,,
59,3,11,1423,590,0,620,585,853,,
60,3,12,1395,590,0,607,585,853,,
61,3,13,1305,590,0,568,585,853,,
62,3,14,1248,590,0,543,585,853,,
63,3,15,1197,590,0,521,585,1453,,
64,3,16,1131,590,0,492,585,1532,,
65,3,17,1022,590,0,445,585,1532,,
66,3,18,861,590,0,375,585,1532,,
67,3,19,673,590,0,293,585,1532,,
68,3,20,546,590,0,238,585,1532,,
69,3,21,503,590,0,219,585,1532,,
70,3,22,369,590,0,161,585,1532,,
71,3,23,283,590,0,123,585,1532,,
72,4,0,153,590,0,67,585,1532,,
73,4,1,119,590,0,52,585,1532,,
74,4,2,151,590,0,66,585,1532,,
75,4,3,202,590,0,88,585,1532,,
76,4,4,350,590,0,153,585,1532,,
77,4,5,685,590,0,298,585,1532,,
78,4,6,1101,590,0,479,585,1532,,
79,4,7,1405,590,0,612,585,1532,,
80,4,8,1700,590,0,740,585,1532,,
81,4,9,1369,590,0,596,585,1532,,
82,4,10,1595,590,0,694,585,1532,,
83,4,11,1682,590,0,732,585,1532,,
84,4,12,1700,590,0,740,585,1532,,
85,4,13,1700,590,0,740,585,1532,,
86,4,14,1700,590,0,740,585,1532,,
87,4,15,1700,590,0,740,585,1532,,
88,4,16,1700,590,0,740,585,1532,,
89,4,17,1700,590,0,740,585,1532,,
90,4,18,1582,590,0,689,585,1532,,
91,4,19,1521,590,0,662,585,1532,,
92,4,20,1160,590,0,505,585,1532,,
93,4,21,981,590,0,427,585,1532,,
94,4,22,723,590,0,315,585,1532,,
95,4,23,701,590,0,305,585,1532,,
96,5,0,621,590,0,270,585,1532,,
97,5,1,545,590,0,237,585,1532,,
98,5,2,556,590,0,242,585,1532,,
99,5,3,618,590,0,269,585,1532,,
100,5,4,734,590,0,319,585,1532,,
101,5,5,953,590,0,415,585,1532,,
102,5,6,1700,590,0,740,585,1532,,
103,5,7,1700,590,0,740,585,1532,,
104,5,8,1700,590,0,740,585,1532,,
105,5,9,1700,590,0,740,585,1532,,
106,5,10,1700,590,0,740,585,1532,,
107,5,11,1700,590,0,740,585,1532,,
108,5,12,1700,590,0,740,585,1532,,
109,5,13,1700,590,0,740,585,1532,,
110,5,14,1700,590,0,740,585,1532,,
111,5,15,1700,590,0,740,585,1532,,
112,5,16,1700,590,0,740,585,1532,,
113,5,17,1700,590,0,740,585,1532,,
114,5,18,1700,590,0,740,585,1532,,
115,5,19,1700,590,0,740,585,1532,,
116,5,20,1346,590,0,586,585,1532,,
117,5,21,1343,590,0,584,585,1532,,
118,5,22,1216,590,250,529,585,1532,,
119,5,23,1169,590,0,509,585,1532,,
120,6,0,1348,590,1400,587,585,1532,,
121,6,1,1363,590,1370,593,585,1532,,
122,6,2,1584,590,1320,689,585,1532,,
123,6,3,1648,590,1310,717,585,1532,,
124,6,4,1700,590,1280,740,585,1532,,
125,6,5,1700,590,1080,740,585,1532,,
126,6,6,1700,310,900,740,585,1532,,
127,6,7,1700,310,540,740,585,1532,,
128,6,8,1700,310,410,740,585,1532,,
129,6,9,1700,310,250,740,585,1532,,
130,6,10,1700,310,60,740,585,1532,,
131,6,11,1700,310,0,740,585,1532,,
132,6,12,1700,310,0,740,585,1532,,
133,6,13,1700,310,0,740,585,1532,,
134,6,14,1700,310,0,740,585,1532,,
135,6,15,1700,310,0,740,585,1532,,
136,6,16,1700,310,0,740,585,1532,,
137,6,17,1700,590,0,740,585,1532,,
138,6,18,1700,590,0,740,585,1532,,
139,6,19,1700,590,0,740,585,1532,,
140,6,20,1700,590,0,740,585,1532,,
141,6,21,1700,590,0,740,585,1532,,
142,6,22,1609,590,0,701,585,1532,,
143,6,23,1434,590,0,624,585,1532,,
144,7,0,1081,590,0,470,585,1532,,
145,7,1,1013,590,0,441,585,1532,,
146,7,2,927,590,0,404,585,1532,,
147,7,3,860,590,0,374,585,1532,,
148,7,4,827,590,0,360,585,1532,,
149,7,5,829,590,0,361,585,1532,,
150,7,6,974,590,0,424,585,1532,,
151,7,7,1137,590,0,495,585,1532,,
152,7,8,1099,590,0,478,585,1532,,
153,7,9,949,590,0,413,585,1532,,
154,7,10,986,590,0,429,585,1532,,
155,7,11,1046,590,0,455,585,1532,,
156,7,12,1092,590,0,475,585,1532,,
157,7,13,1109,590,0,483,585,1532,,
158,7,14,1132,590,0,493,585,1532,,
159,7,15,1509,590,0,657,585,1532,,
160,7,16,1493,590,0,650,585,1532,,
161,7,17,1495,590,0,651,585,1532,,
162,7,18,1495,590,0,651,585,1532,,
163,7,19,1422,590,0,619,585,1532,,
164,7,20,1236,590,0,538,585,1532,,
165,7,21,1130,590,0,492,585,1532,,
166,7,22,848,590,0,369,585,1532,,
167,7,23,823,590,0,358,585,1532,,
168,8,0,1166,590,0,508,585,1532,,
169,8,1,1160,590,0,505,585,1532,,
170,8,2,1127,590,0,491,585,1532,,
171,8,3,1101,590,120,479,585,1532,,
172,8,4,1107,590,330,482,585,1532,,
173,8,5,1130,590,0,492,585,1532,,
174,8,6,1295,590,0,564,585,1532,,
175,8,7,1320,590,0,575,585,1532,,
176,8,8,1321,590,0,575,585,1532,,
177,8,9,1168,590,0,508,585,1532,,
178,8,10,1160,590,680,505,585,1532,,
179,8,11,1135,590,0,494,585,1532,,
180,8,12,1077,590,0,469,585,1532,,
181,8,13,1002,590,0,436,585,1532,,
182,8,14,1037,590,0,452,585,1532,,
183,8,15,1309,590,0,570,585,1532,,
184,8,16,1488,590,0,648,585,1532,,
185,8,17,1488,590,0,648,585,1532,,
186,8,18,1342,590,0,584,585,1532,,
187,8,19,1241,590,0,540,585,1532,,
188,8,20,1112,590,0,484,585,1532,,
189,8,21,960,590,830,418,585,1532,,
190,8,22,811,590,0,353,585,1532,,
191,8,23,743,590,0,324,585,1532,,
192,9,0,871,590,430,379,585,1532,,
193,9,1,868,590,350,378,585,1532,,
194,9,2,874,590,210,380,585,1532,,
195,9,3,887,590,120,386,585,1532,,
196,9,4,942,590,0,410,585,1532,,
197,9,5,1213,590,0,528,585,1532,,
198,9,6,1672,590,0,728,585,1532,,
199,9,7,1700,590,0,740,585,1532,,
200,9,8,1700,590,0,740,585,1532,,
201,9,9,1700,590,0,740,585,1532,,
202,9,10,1700,590,0,740,585,1532,,
203,9,11,1700,590,0,740,585,1532,,
204,9,12,1700,590,0,740,585,1532,,
205,9,13,1700,590,0,740,585,1532,,
206,9,14,1700,590,0,740,585,1532,,
207,9,15,1700,590,0,740,585,1532,,
208,9,16,1700,590,0,740,585,1532,,
209,9,17,1700,590,0,740,585,1532,,
210,9,18,1700,590,0,740,585,1532,,
211,9,19,1700,590,0,740,585,1532,,
212,9,20,1700,590,0,740,585,1532,,
213,9,21,1700,590,0,740,585,1532,,
214,9,22,1254,590,0,546,585,1532,,
215,9,23,1030,590,0,448,585,1532,,
216,10,0,613,590,0,267,585,1532,,
217,10,1,523,590,0,228,585,1532,,
218,10,2,463,590,0,201,585,1532,,
219,10,3,458,590,0,199,585,1532,,
220,10,4,641,590,0,279,585,1532,,
221,10,5,837,590,0,365,585,1532,,
222,10,6,1282,590,0,558,585,1532,,
223,10,7,1304,590,0,567,585,1532,,
224,10,8,1281,590,0,558,585,1532,,
225,10,9,1183,590,0,515,585,1532,,
226,10,10,1140,590,0,496,585,1532,,
227,10,11,1163,590,0,506,585,1532,,
228,10,12,1225,590,0,533,585,1532,,
229,10,13,1268,590,0,552,585,1532,,
230,10,14,1338,590,0,583,585,1532,,
231,10,15,1446,590,0,629,585,1532,,
232,10,16,1411,590,0,614,585,1532,,
233,10,17,1396,590,0,608,585,1532,,
234,10,18,1315,590,0,572,585,1532,,
235,10,19,1355,590,0,590,585,1532,,
236,10,20,1355,590,0,590,585,1532,,
237,10,21,1231,590,0,536,585,1532,,
238,10,22,877,590,0,382,585,1532,,
239,10,23,683,590,0,297,585,1532,,
240,11,0,682,590,0,297,585,1532,,
241,11,1,618,590,0,269,585,1532,,
242,11,2,594,590,0,259,585,1532,,
243,11,3,609,590,0,265,585,1532,,
244,11,4,762,590,0,332,585,1532,,
245,11,5,956,590,0,416,585,1532,,
246,11,6,1207,590,0,526,585,1532,,
247,11,7,1311,590,0,571,585,1532,,
248,11,8,1313,590,0,572,585,1532,,
249,11,9,1174,590,0,511,585,1532,,
250,11,10,1210,590,0,527,585,1532,,
251,11,11,1190,590,0,518,585,1532,,
252,11,12,1208,590,0,526,585,1532,,
253,11,13,1187,590,0,517,585,1532,,
254,11,14,1203,590,0,524,585,1532,,
255,11,15,1249,590,0,543,585,1532,,
256,11,16,1248,590,0,543,585,1532,,
257,11,17,1278,590,0,557,585,1532,,
258,11,18,1308,590,0,569,585,1532,,
259,11,19,1274,590,0,555,585,1532,,
260,11,20,1111,590,0,483,585,1532,,
261,11,21,999,590,0,435,585,1532,,
262,11,22,799,590,0,348,585,1532,,
263,11,23,576,590,0,251,585,1532,,
264,12,0,611,590,0,266,585,1532,,
265,12,1,621,590,0,270,585,1532,,
266,12,2,655,590,0,285,585,1532,,
267,12,3,631,590,0,275,585,1532,,
268,12,4,724,590,0,315,585,1532,,
269,12,5,913,590,0,397,585,1532,,
270,12,6,1459,590,0,635,585,1532,,
271,12,7,1700,590,0,740,585,1532,,
272,12,8,1700,590,0,740,585,1532,,
273,12,9,1700,590,0,740,585,1532,,
274,12,10,1700,590,0,740,585,1532,,
275,12,11,1700,590,0,740,585,1532,,
276,12,12,1700,590,0,740,585,1532,,
277,12,13,1700,590,0,740,585,1532,,
278,12,14,1700,590,0,740,585,1532,,
279,12,15,1700,590,0,740,585,1532,,
280,12,16,1700,590,0,740,585,1532,,
281,12,17,1700,590,0,740,585,1532,,
282,12,18,1700,590,0,740,585,1532,,
283,12,19,1700,590,0,740,585,1532,,
284,12,20,1532,590,0,667,585,1532,,
285,12,21,1012,590,0,441,585,1532,,
286,12,22,800,590,0,348,585,1532,,
287,12,23,671,590,0,292,585,1532,,
288,13,0,677,590,0,295,585,1532,,
289,13,1,690,590,0,300,585,1532,,
290,13,2,783,590,0,341,585,1532,,
291,13,3,925,590,0,403,585,1532,,
292,13,4,1032,590,0,449,585,1532,,
293,13,5,1173,590,0,511,585,1532,,
294,13,6,1547,590,0,673,585,1532,,
295,13,7,1700,590,0,740,585,1532,,
296,13,8,1700,590,0,740,585,1532,,
297,13,9,1700,590,0,740,585,1532,,
298,13,10,1700,590,0,740,585,1532,,
299,13,11,1700,590,0,740,585,1532,,
300,13,12,1700,590,0,740,585,1532,,
301,13,13,1700,590,0,740,585,1532,,
302,13,14,1700,590,0,740,585,1532,,
303,13,15,1700,590,0,740,585,1532,,
304,13,16,1700,590,0,740,585,1532,,
305,13,17,1700,590,0,740,585,1532,,
306,13,18,1700,590,0,740,585,1532,,
307,13,19,1700,590,0,740,585,1532,,
308,13,20,1700,590,0,740,585,1532,,
309,13,21,1508,590,0,656,585,1532,,
310,13,22,1455,590,0,633,585,1532,,
311,13,23,1401,590,0,610,585,1532,,
312,14,0,1086,590,0,473,585,1532,,
313,14,1,1069,590,0,465,585,1532,,
314,14,2,1045,590,0,455,585,1532,,
315,14,3,1055,590,0,459,585,1532,,
316,14,4,1050,590,0,457,585,1532,,
317,14,5,1109,590,0,483,585,1532,,
318,14,6,1485,590,0,647,585,1532,,
319,14,7,1522,590,0,663,585,1532,,
320,14,8,1618,590,0,704,585,1532,,
321,14,9,1700,590,0,740,585,1532,,
322,14,10,1700,590,0,740,585,1532,,
323,14,11,1700,590,0,740,585,1532,,
324,14,12,1700,590,0,740,585,1532,,
325,14,13,1700,590,0,740,585,1532,,
326,14,14,1700,590,0,740,585,1532,,
327,14,15,1700,590,0,740,585,1532,,
328,14,16,1527,590,0,665,585,1532,,
329,14,17,1424,590,0,620,585,1532,,
330,14,18,1412,590,0,615,585,1532,,
331,14,19,1337,590,0,582,585,1532,,
332,14,20,1335,590,0,581,585,1532,,
333,14,21,1306,590,0,569,585,1532,,
334,14,22,1141,590,0,497,585,1532,,
335,14,23,991,590,0,431,585,1532,,
336,15,0,1188,590,0,517,585,1532,,
337,15,1,1138,590,0,495,585,1532,,
338,15,2,1118,590,0,487,585,1532,,
339,15,3,1082,590,0,471,585,1532,,
340,15,4,1043,590,0,454,585,1532,,
341,15,5,1117,590,0,486,585,1532,,
342,15,6,1481,590,0,645,585,1532,,
343,15,7,1350,590,0,588,585,1532,,
344,15,8,1345,590,0,586,585,1532,,
345,15,9,1360,590,0,592,585,1532,,
346,15,10,1272,590,210,554,585,1532,,
347,15,11,1376,590,440,599,585,1532,,
348,15,12,1360,590,640,592,585,1532,,
349,15,13,1281,590,810,558,585,1532,,
350,15,14,1370,590,860,596,585,1532,,
351,15,15,1513,590,820,658,585,1532,,
352,15,16,1700,590,770,740,585,1532,,
353,15,17,1700,590,700,740,585,1532,,
354,15,18,1700,590,710,740,585,1532,,
355,15,19,1700,590,620,740,585,1532,,
356,15,20,1517,590,630,661,585,1532,,
357,15,21,1385,590,560,603,585,1532,,
358,15,22,1277,590,470,556,585,1532,,
359,15,23,1109,590,240,483,585,1532,,
360,16,0,1228,590,520,534,585,1532,,
361,16,1,1215,590,470,529,585,1532,,
362,16,2,1240,590,380,540,585,1532,,
363,16,3,1200,590,330,522,585,1532,,
364,16,4,1259,590,330,548,585,1532,,
365,16,5,1303,590,340,567,585,1532,,
366,16,6,1700,590,350,740,585,1532,,
367,16,7,1700,590,220,740,585,1532,,
368,16,8,1700,590,160,740,585,1532,,
369,16,9,1700,590,170,740,585,1532,,
370,16,10,1700,590,190,740,585,1532,,
371,16,11,1700,590,270,740,585,1532,,
372,16,12,1700,590,320,740,585,1532,,
373,16,13,1700,590,420,740,585,1532,,
374,16,14,1700,590,460,740,585,1532,,
375,16,15,1700,590,440,740,585,1532,,
376,16,16,1700,590,460,740,585,1532,,
377,16,17,1700,590,450,740,585,1532,,
378,16,18,1700,590,340,740,585,1532,,
379,16,19,1700,590,250,740,585,1532,,
380,16,20,1700,590,270,740,585,1532,,
381,16,21,1700,590,380,740,585,1532,,
382,16,22,1605,590,460,699,585,1532,,
383,16,23,1558,590,470,678,585,1532,,
384,17,0,1398,590,460,609,585,1532,,
385,17,1,1388,590,460,604,585,1532,,
386,17,2,1391,590,460,606,585,1532,,
387,17,3,1377,590,470,599,585,1532,,
388,17,4,1429,590,470,622,585,1532,,
389,17,5,1514,590,480,659,585,1532,,
390,17,6,1700,590,460,740,585,1532,,
391,17,7,1700,590,460,740,585,1532,,
392,17,8,1700,590,450,740,585,1532,,
393,17,9,1700,590,460,740,585,1532,,
394,17,10,1700,590,460,740,585,1532,,
395,17,11,1700,590,460,740,585,1532,,
396,17,12,1700,590,460,740,585,1532,,
397,17,13,1700,590,460,740,585,1532,,
398,17,14,1700,590,410,740,585,1532,,
399,17,15,1700,590,260,740,585,1532,,
400,17,16,1700,590,150,740,585,1532,,
401,17,17,1700,590,130,740,585,1532,,
402,17,18,1700,590,70,740,585,1532,,
403,17,19,1700,590,0,740,585,1532,,
404,17,20,1560,590,0,679,585,1532,,
405,17,21,1421,590,0,619,585,1532,,
406,17,22,1292,590,0,562,585,1532,,
407,17,23,1156,590,0,503,585,1532,,
408,18,0,722,590,60,314,585,1532,,
409,18,1,734,590,0,320,585,1532,,
410,18,2,756,590,0,329,585,1532,,
411,18,3,754,590,0,328,585,1532,,
412,18,4,860,590,0,374,585,1532,,
413,18,5,1700,590,0,740,585,1532,,
414,18,6,1700,590,0,740,585,1532,,
415,18,7,1700,590,0,740,585,1532,,
416,18,8,1700,590,0,740,585,1532,,
417,18,9,1700,590,0,740,585,1532,,
418,18,10,1700,590,0,740,585,1532,,
419,18,11,1700,590,0,740,585,1532,,
420,18,12,1700,590,0,740,585,1532,,
421,18,13,1700,590,0,740,585,1532,,
422,18,14,1700,590,0,740,585,1532,,
423,18,15,1700,590,0,740,585,1532,,
424,18,16,1700,590,0,740,585,1532,,
425,18,17,1700,590,0,740,585,1532,,
426,18,18,1700,590,0,740,585,1532,,
427,18,19,1700,590,0,740,585,1532,,
428,18,20,1299,590,0,565,585,1532,,
429,18,21,1156,590,0,503,585,1532,,
430,18,22,813,590,0,354,585,1532,,
431,18,23,500,590,10,300,585,1532,,
432,19,0,500,590,130,300,585,1532,,
433,19,1,927,590,180,404,585,1532,,
434,19,2,863,590,250,376,585,1532,,
435,19,3,859,590,260,374,585,1532,,
436,19,4,955,590,250,416,585,1532,,
437,19,5,1142,590,240,497,585,1532,,
438,19,6,1446,590,140,630,585,1532,,
439,19,7,1700,590,20,740,585,1532,,
440,19,8,1700,590,140,740,585,1532,,
441,19,9,1700,590,160,740,585,1532,,
442,19,10,1700,590,150,740,585,1532,,
443,19,11,1700,590,100,740,585,1532,,
444,19,12,1700,590,60,740,585,1532,,
445,19,13,1700,590,100,740,585,1532,,
446,19,14,1700,590,110,740,585,1532,,
447,19,15,1700,590,160,740,585,1532,,
448,19,16,1700,590,210,740,585,1532,,
449,19,17,1700,590,330,740,585,1532,,
450,19,18,1658,590,380,722,585,1532,,
451,19,19,1546,590,440,673,585,1532,,
452,19,20,1412,590,440,614,585,1532,,
453,19,21,1188,590,450,517,585,1532,,
454,19,22,886,590,450,386,585,1532,,
455,19,23,673,590,450,293,585,1532,,
456,20,0,670,590,40,292,585,1532,,
457,20,1,656,590,100,285,585,1532,,
458,20,2,675,590,150,294,585,1532,,
459,20,3,727,590,140,316,585,1532,,
460,20,4,858,590,130,373,585,1532,,
461,20,5,1085,590,70,472,585,1532,,
462,20,6,1700,590,0,740,585,1532,,
463,20,7,1700,590,0,740,585,1532,,
464,20,8,1700,590,0,740,585,1532,,
465,20,9,1700,590,0,740,585,1532,,
466,20,10,1700,590,0,740,585,1532,,
467,20,11,1700,590,0,740,585,1532,,
468,20,12,1700,590,0,740,585,1532,,
469,20,13,1700,590,0,740,585,1532,,
470,20,14,1700,590,0,740,585,1532,,
471,20,15,1700,590,0,740,585,1532,,
472,20,16,1700,590,0,740,585,1532,,
473,20,17,1700,590,0,740,585,1532,,
474,20,18,1388,590,0,604,585,1532,,
475,20,19,1157,590,0,504,585,1532,,
476,20,20,914,590,0,398,585,1532,,
477,20,21,851,590,0,370,585,1532,,
478,20,22,806,590,0,351,585,1532,,
479,20,23,851,590,0,370,585,1532,,
480,21,0,902,590,0,393,585,1532,,
481,21,1,931,590,0,405,585,1532,,
482,21,2,921,590,0,401,585,1532,,
483,21,3,974,590,0,424,585,1532,,
484,21,4,961,590,0,418,585,1532,,
485,21,5,1025,590,0,446,585,1532,,
486,21,6,1254,590,0,546,585,1532,,
487,21,7,1499,590,0,653,585,1532,,
488,21,8,1557,590,0,678,585,1532,,
489,21,9,1643,590,0,715,585,1532,,
490,21,10,1700,590,0,740,585,1532,,
491,21,11,1687,590,0,734,585,1532,,
492,21,12,1684,590,0,733,585,1532,,
493,21,13,1602,590,0,697,585,1532,,
494,21,14,1518,590,0,661,585,1532,,
495,21,15,1622,590,0,706,585,1532,,
496,21,16,1700,590,0,740,585,1532,,
497,21,17,1700,590,0,740,585,1532,,
498,21,18,1700,590,0,740,585,1532,,
499,21,19,1700,590,0,740,585,1532,,
500,21,20,1649,590,0,718,585,1532,,
501,21,21,1438,590,0,626,585,1532,,
502,21,22,1250,590,0,544,585,1532,,
503,21,23,1160,590,0,505,585,1532,,
504,22,0,1151,590,540,501,585,1532,,
505,22,1,994,590,520,433,585,1532,,
506,22,2,988,590,500,430,585,1532,,
507,22,3,1037,590,500,451,585,1532,,
508,22,4,970,590,510,422,585,1532,,
509,22,5,955,590,560,416,585,1532,,
510,22,6,1415,590,600,616,585,1532,,
511,22,7,1700,590,650,740,585,1532,,
512,22,8,1700,590,820,740,585,1532,,
513,22,9,1700,590,830,740,585,1532,,
514,22,10,1700,590,860,740,585,1532,,
515,22,11,1700,590,850,740,585,1532,,
516,22,12,1700,590,960,740,585,1532,,
517,22,13,1700,590,990,740,585,1532,,
518,22,14,1700,590,1020,740,585,1532,,
519,22,15,1700,590,990,740,585,1532,,
520,22,16,1700,590,910,740,585,1532,,
521,22,17,1700,590,890,740,585,1532,,
522,22,18,1700,590,940,740,585,1532,,
523,22,19,1700,590,930,740,585,1532,,
524,22,20,1700,590,930,740,585,1532,,
525,22,21,1700,590,950,740,585,1532,,
526,22,22,1089,590,900,474,585,1532,,
527,22,23,914,590,910,398,585,1532,,
528,23,0,988,590,1030,430,585,1532,,
529,23,1,974,590,980,424,585,1532,,
530,23,2,990,590,890,431,585,1532,,
531,23,3,1012,590,830,441,585,1532,,
532,23,4,1141,590,710,497,585,1532,,
533,23,5,1395,590,620,607,585,1532,,
534,23,6,1700,590,430,740,585,1532,,
535,23,7,1700,590,230,740,585,1532,,
536,23,8,1700,590,160,740,585,1532,,
537,23,9,1700,590,40,740,585,1532,,
538,23,10,1700,590,0,740,585,1532,,
539,23,11,1700,590,0,740,585,1532,,
540,23,12,1700,590,0,740,585,1532,,
541,23,13,1680,590,0,731,585,1532,,
542,23,14,1667,590,0,725,585,1532,,
543,23,15,1700,590,0,740,585,1532,,
544,23,16,1700,590,0,740,585,1532,,
545,23,17,1700,590,0,740,585,1532,,
546,23,18,1661,590,0,723,585,1532,,
547,23,19,1482,590,0,645,585,1532,,
548,23,20,1322,590,0,575,585,1532,,
549,23,21,1260,590,0,548,585,1532,,
550,23,22,1144,590,0,498,585,1532,,
551,23,23,1100,590,140,479,585,1532,,
552,24,0,869,590,1040,378,585,1532,,
553,24,1,893,590,1150,389,585,1532,,
554,24,2,896,590,1160,390,585,1532,,
555,24,3,922,590,1160,401,585,1532,,
556,24,4,1084,590,1120,472,585,1532,,
557,24,5,1321,590,1090,575,585,1532,,
558,24,6,1700,590,930,740,585,1532,,
559,24,7,1700,590,710,740,585,1532,,
560,24,8,1700,590,820,740,585,1532,,
561,24,9,1700,590,800,740,585,1532,,
562,24,10,1700,590,760,740,585,1532,,
563,24,11,1700,590,720,740,585,1532,,
564,24,12,1700,590,650,740,585,1532,,
565,24,13,1700,590,540,740,585,1532,,
566,24,14,1700,590,450,740,585,1532,,
567,24,15,1700,590,350,740,585,1532,,
568,24,16,1700,590,290,740,585,1532,,
569,24,17,1700,590,400,740,585,1532,,
570,24,18,1700,590,390,740,585,1532,,
571,24,19,1700,590,320,740,585,1532,,
572,24,20,1700,590,120,740,585,1532,,
573,24,21,1534,590,90,668,585,1532,,
574,24,22,1175,590,50,512,585,1532,,
575,24,23,1003,590,110,437,585,1532,,
576,25,0,440,590,710,191,585,1532,,
577,25,1,417,590,650,181,585,1532,,
578,25,2,391,590,600,170,585,1532,,
579,25,3,417,590,590,182,585,1532,,
580,25,4,487,590,630,212,585,1532,,
581,25,5,610,590,610,265,585,1532,,
582,25,6,906,590,470,394,585,1532,,
583,25,7,1397,590,370,608,585,1532,,
584,25,8,1489,590,440,648,585,1532,,
585,25,9,1475,590,430,642,585,1532,,
586,25,10,1537,590,370,669,585,1532,,
587,25,11,1540,590,280,670,585,1532,,
588,25,12,1450,590,260,631,585,1532,,
589,25,13,1406,590,290,612,585,1532,,
590,25,14,1416,590,320,617,585,1532,,
591,25,15,1457,590,390,634,585,1532,,
592,25,16,1700,590,420,740,585,1532,,
593,25,17,1700,590,640,740,585,1532,,
594,25,18,1700,590,620,740,585,1532,,
595,25,19,1583,590,530,689,585,1532,,
596,25,20,1171,590,330,510,585,1532,,
597,25,21,1124,590,300,489,585,1532,,
598,25,22,849,590,290,369,585,1532,,
599,25,23,712,590,320,310,585,1532,,
600,26,0,436,590,330,190,585,1532,,
601,26,1,417,590,270,181,585,1532,,
602,26,2,414,590,170,180,585,1532,,
603,26,3,420,590,20,183,585,1532,,
604,26,4,513,590,0,223,585,1532,,
605,26,5,620,590,0,270,585,1532,,
606,26,6,924,590,0,402,585,1532,,
607,26,7,1219,590,0,531,585,1532,,
608,26,8,1239,590,0,539,585,1532,,
609,26,9,1209,590,0,526,585,1532,,
610,26,10,1230,590,0,535,585,1532,,
611,26,11,1270,590,0,553,585,1532,,
612,26,12,1178,590,0,513,585,1532,,
613,26,13,1192,590,0,519,585,1532,,
614,26,14,1205,590,0,525,585,1532,,
615,26,15,1245,590,0,542,585,1532,,
616,26,16,1505,590,0,655,585,1532,,
617,26,17,1700,590,0,740,585,1532,,
618,26,18,1694,590,0,737,585,1532,,
619,26,19,1505,590,0,655,585,1532,,
620,26,20,1222,590,0,532,585,1532,,
621,26,21,1071,590,0,466,585,1532,,
622,26,22,891,590,0,388,585,1532,,
623,26,23,792,590,0,345,585,1532,,
624,27,0,601,590,0,262,585,1532,,
625,27,1,603,590,0,262,585,1532,,
626,27,2,614,590,0,267,585,1532,,
627,27,3,614,590,0,267,585,1532,,
628,27,4,726,590,0,316,585,1532,,
629,27,5,832,590,0,362,585,1532,,
630,27,6,1205,590,0,525,585,1532,,
631,27,7,1486,590,0,647,585,1532,,
632,27,8,1498,590,0,652,585,1532,,
633,27,9,1531,590,0,666,585,1532,,
634,27,10,1516,590,0,660,585,1532,,
635,27,11,1380,590,0,601,585,1532,,
636,27,12,1275,590,0,555,585,1532,,
