hiy,diy,hid,KBH_1,KBH_2,KBH_3,KBH_4,KBH_5,KBH_6,KBH_7,KBH_8,KBH_9,KBH_10,KBH_11,KBH_12,KBH_13,KBH_14,AAR_1,AAR_2,AAR_3,AAR_4,AAR_5,AAR_6,AAR_7,AAR_8,AAR_9,TVIS_1,TVIS_2,TVIS_3,TVIS_4,TVIS_5,TVIS_6,copenhagen (MWh),TVIS (MWh),Aarhus (MWh)
24,2,0,216.3604247,144.2402832,144.2402832,144.2402832,72.12014158,72.12014158,72.12014158,144.2402832,144.2402832,72.12014158,72.12014158,72.12014158,72.12014158,144.2402832,159.7371731,79.86858654,79.86858654,79.86858654,79.86858654,79.86858654,79.86858654,79.86858654,79.86858654,71.52410735,71.52410735,95.36547647,71.52410735,95.36547647,71.52410735,1442.402832,476.8273823,798.6858654
25,2,1,218.0090241,145.3393494,145.3393494,145.3393494,72.66967469,72.66967469,72.66967469,145.3393494,145.3393494,72.66967469,72.66967469,72.66967469,72.66967469,145.3393494,160.9543208,80.4771604,80.4771604,80.4771604,80.4771604,80.4771604,80.4771604,80.4771604,80.4771604,72.06909886,72.06909886,96.09213182,72.06909886,96.09213182,72.06909886,1453.393494,480.4606591,804.771604
26,2,2,222.1815852,148.1210568,148.1210568,148.1210568,74.0605284,74.0605284,74.0605284,148.1210568,148.1210568,74.0605284,74.0605284,74.0605284,74.0605284,148.1210568,164.0348893,82.01744467,82.01744467,82.01744467,82.01744467,82.01744467,82.01744467,82.01744467,82.01744467,73.44845791,73.44845791,97.93127722,73.44845791,97.93127722,73.44845791,1481.210568,489.6563861,820.1744467
27,2,3,228.4696056,152.3130704,152.3130704,152.3130704,76.15653521,76.15653521,76.15653521,152.3130704,152.3130704,76.15653521,76.15653521,76.15653521,76.15653521,152.3130704,168.6772846,84.3386423,84.3386423,84.3386423,84.3386423,84.3386423,84.3386423,84.3386423,84.3386423,75.52714235,75.52714235,100.7028565,75.52714235,100.7028565,75.52714235,1523.130704,503.5142824,843.386423
28,2,4,234.1011042,156.0674028,156.0674028,156.0674028,78.0337014,78.0337014,78.0337014,156.0674028,156.0674028,78.0337014,78.0337014,78.0337014,78.0337014,156.0674028,172.834975,86.4174875,86.4174875,86.4174875,86.4174875,86.4174875,86.4174875,86.4174875,86.4174875,77.38879478,77.38879478,103.1850597,77.38879478,103.1850597,77.38879478,1560.674028,515.9252985,864.174875
29,2,5,243.2632314,162.1754876,162.1754876,162.1754876,81.08774381,81.08774381,81.08774381,162.1754876,162.1754876,81.08774381,81.08774381,81.08774381,81.08774381,162.1754876,179.5993003,89.79965017,89.79965017,89.79965017,89.79965017,89.79965017,89.79965017,89.79965017,89.79965017,80.41759717,80.41759717,107.2234629,80.41759717,107.2234629,80.41759717,1621.754876,536.1173144,897.9965017
30,2,6,263.2944427,175.5296285,175.5296285,175.5296285,87.76481423,87.76481423,87.76481423,175.5296285,175.5296285,87.76481423,87.76481423,87.76481423,87.76481423,175.5296285,194.3881836,97.1940918,97.1940918,97.1940918,97.1940918,97.1940918,97.1940918,97.1940918,97.1940918,87.03948519,87.03948519,116.0526469,87.03948519,116.0526469,87.03948519,1755.296285,580.2632346,971.940918
31,2,7,277.5920298,185.0613532,185.0613532,185.0613532,92.53067659,92.53067659,92.53067659,185.0613532,185.0613532,92.53067659,92.53067659,92.53067659,92.53067659,185.0613532,204.9439779,102.471989,102.471989,102.471989,102.471989,102.471989,102.471989,102.471989,102.471989,91.76596025,91.76596025,122.3546137,91.76596025,122.3546137,91.76596025,1850.613532,611.7730684,1024.71989
32,2,8,276.8479717,184.5653144,184.5653144,184.5653144,92.28265722,92.28265722,92.28265722,184.5653144,184.5653144,92.28265722,92.28265722,92.28265722,92.28265722,184.5653144,204.3946457,102.1973229,102.1973229,102.1973229,102.1973229,102.1973229,102.1973229,102.1973229,102.1973229,91.51999063,91.51999063,122.0266542,91.51999063,122.0266542,91.51999063,1845.653144,610.1332709,1021.973229
33,2,9,277.2710635,184.8473757,184.8473757,184.8473757,92.42368784,92.42368784,92.42368784,184.8473757,184.8473757,92.42368784,92.42368784,92.42368784,92.42368784,184.8473757,204.7070111,102.3535055,102.3535055,102.3535055,102.3535055,102.3535055,102.3535055,102.3535055,102.3535055,91.65985571,91.65985571,122.2131409,91.65985571,122.2131409,91.65985571,1848.473757,611.0657047,1023.535055
34,2,10,282.7566684,188.5044456,188.5044456,188.5044456,94.25222279,94.25222279,94.25222279,188.5044456,188.5044456,94.25222279,94.25222279,94.25222279,94.25222279,188.5044456,208.7569893,104.3784947,104.3784947,104.3784947,104.3784947,104.3784947,104.3784947,104.3784947,104.3784947,93.4732788,93.4732788,124.6310384,93.4732788,124.6310384,93.4732788,1885.044456,623.155192,1043.784947
35,2,11,271.8000481,181.200032,181.200032,181.200032,90.60001602,90.60001602,90.60001602,181.200032,181.200032,90.60001602,90.60001602,90.60001602,90.60001602,181.200032,200.6678041,100.333902,100.333902,100.333902,100.333902,100.333902,100.333902,100.333902,100.333902,89.85125556,89.85125556,119.8016741,89.85125556,119.8016741,89.85125556,1812.00032,599.0083704,1003.33902
36,2,12,260.3182103,173.5454735,173.5454735,173.5454735,86.77273676,86.77273676,86.77273676,173.5454735,173.5454735,86.77273676,86.77273676,86.77273676,86.77273676,173.5454735,192.190855,96.09542749,96.09542749,96.09542749,96.09542749,96.09542749,96.09542749,96.09542749,96.09542749,86.05560671,86.05560671,114.7408089,86.05560671,114.7408089,86.05560671,1735.454735,573.7040447,960.9542749
37,2,13,270.7204344,180.4802896,180.4802896,180.4802896,90.24014478,90.24014478,90.24014478,180.4802896,180.4802896,90.24014478,90.24014478,90.24014478,90.24014478,180.4802896,199.8707339,99.93536695,99.93536695,99.93536695,99.93536695,99.93536695,99.93536695,99.93536695,99.93536695,89.49435846,89.49435846,119.3258113,89.49435846,119.3258113,89.49435846,1804.802896,596.6290564,999.3536695
38,2,14,263.7758921,175.8505947,175.8505947,175.8505947,87.92529735,87.92529735,87.92529735,175.8505947,175.8505947,87.92529735,87.92529735,87.92529735,87.92529735,175.8505947,194.7436338,97.3718169,97.3718169,97.3718169,97.3718169,97.3718169,97.3718169,97.3718169,97.3718169,87.198642,87.198642,116.264856,87.198642,116.264856,87.198642,1758.505947,581.32428,973.718169
39,2,15,266.9855545,177.9903696,177.9903696,177.9903696,88.99518482,88.99518482,88.99518482,177.9903696,177.9903696,88.99518482,88.99518482,88.99518482,88.99518482,177.9903696,197.1133019,98.55665096,98.55665096,98.55665096,98.55665096,98.55665096,98.55665096,98.55665096,98.55665096,88.25968743,88.25968743,117.6795832,88.25968743,117.6795832,88.25968743,1779.903696,588.3979162,985.5665096
40,2,16,266.4749264,177.6499509,177.6499509,177.6499509,88.82497545,88.82497545,88.82497545,177.6499509,177.6499509,88.82497545,88.82497545,88.82497545,88.82497545,177.6499509,196.7363093,98.36815463,98.36815463,98.36815463,98.36815463,98.36815463,98.36815463,98.36815463,98.36815463,88.09088475,88.09088475,117.454513,88.09088475,117.454513,88.09088475,1776.499509,587.272565,983.6815463
41,2,17,265.1910614,176.7940409,176.7940409,176.7940409,88.39702046,88.39702046,88.39702046,176.7940409,176.7940409,88.39702046,88.39702046,88.39702046,88.39702046,176.7940409,195.788442,97.89422101,97.89422101,97.89422101,97.89422101,97.89422101,97.89422101,97.89422101,97.89422101,87.66646658,87.66646658,116.8886221,87.66646658,116.8886221,87.66646658,1767.940409,584.4431105,978.9422101
42,2,18,268.4722428,178.9814952,178.9814952,178.9814952,89.49074759,89.49074759,89.49074759,178.9814952,178.9814952,89.49074759,89.49074759,89.49074759,89.49074759,178.9814952,198.210912,99.10545601,99.10545601,99.10545601,99.10545601,99.10545601,99.10545601,99.10545601,99.10545601,88.75115463,88.75115463,118.3348728,88.75115463,118.3348728,88.75115463,1789.814952,591.6743642,991.0545601
43,2,19,265.2494189,176.8329459,176.8329459,176.8329459,88.41647296,88.41647296,88.41647296,176.8329459,176.8329459,88.41647296,88.41647296,88.41647296,88.41647296,176.8329459,195.8315269,97.91576345,97.91576345,97.91576345,97.91576345,97.91576345,97.91576345,97.91576345,97.91576345,87.68575831,87.68575831,116.9143444,87.68575831,116.9143444,87.68575831,1768.329459,584.5717221,979.1576345
44,2,20,259.1218816,172.7479211,172.7479211,172.7479211,86.37396053,86.37396053,86.37396053,172.7479211,172.7479211,86.37396053,86.37396053,86.37396053,86.37396053,172.7479211,191.307615,95.65380752,95.65380752,95.65380752,95.65380752,95.65380752,95.65380752,95.65380752,95.65380752,85.66012614,85.66012614,114.2135015,85.66012614,114.2135015,85.66012614,1727.479211,571.0675076,956.5380752
45,2,21,256.4812048,170.9874699,170.9874699,170.9874699,85.49373493,85.49373493,85.49373493,170.9874699,170.9874699,85.49373493,85.49373493,85.49373493,85.49373493,170.9874699,189.3580245,94.67901223,94.67901223,94.67901223,94.67901223,94.67901223,94.67901223,94.67901223,94.67901223,84.78717513,84.78717513,113.0495668,84.78717513,113.0495668,84.78717513,1709.874699,565.2478342,946.7901223
46,2,22,242.4754052,161.6502701,161.6502701,161.6502701,80.82513507,80.82513507,80.82513507,161.6502701,161.6502701,80.82513507,80.82513507,80.82513507,80.82513507,161.6502701,179.0176545,89.50882726,89.50882726,89.50882726,89.50882726,89.50882726,89.50882726,89.50882726,89.50882726,80.15715874,80.15715874,106.8762117,80.15715874,106.8762117,80.15715874,1616.502701,534.3810583,895.0882726
47,2,23,230.0598475,153.3732316,153.3732316,153.3732316,76.68661582,76.68661582,76.68661582,153.3732316,153.3732316,76.68661582,76.68661582,76.68661582,76.68661582,153.3732316,169.8513474,84.92567371,84.92567371,84.92567371,84.92567371,84.92567371,84.92567371,84.92567371,84.92567371,76.05284213,76.05284213,101.4037895,76.05284213,101.4037895,76.05284213,1533.732316,507.0189476,849.2567371
48,3,0,232.6859349,155.1239566,155.1239566,155.1239566,77.56197829,77.56197829,77.56197829,155.1239566,155.1239566,77.56197829,77.56197829,77.56197829,77.56197829,155.1239566,171.7901668,85.8950834,85.8950834,85.8950834,85.8950834,85.8950834,85.8950834,85.8950834,85.8950834,76.92097021,76.92097021,102.5612936,76.92097021,102.5612936,76.92097021,1551.239566,512.806468,858.950834
49,3,1,235.9393654,157.2929103,157.2929103,157.2929103,78.64645513,78.64645513,78.64645513,157.2929103,157.2929103,78.64645513,78.64645513,78.64645513,78.64645513,157.2929103,174.1921486,87.09607428,87.09607428,87.09607428,87.09607428,87.09607428,87.09607428,87.09607428,87.09607428,77.99648443,77.99648443,103.9953126,77.99648443,103.9953126,77.99648443,1572.929103,519.9765629,870.9607428
50,3,2,235.0931817,156.7287878,156.7287878,156.7287878,78.36439389,78.36439389,78.36439389,156.7287878,156.7287878,78.36439389,78.36439389,78.36439389,78.36439389,156.7287878,173.5674179,86.78370894,86.78370894,86.78370894,86.78370894,86.78370894,86.78370894,86.78370894,86.78370894,77.71675427,77.71675427,103.622339,77.71675427,103.622339,77.71675427,1567.287878,518.1116952,867.8370894
51,3,3,248.3403338,165.5602225,165.5602225,165.5602225,82.78011126,82.78011126,82.78011126,165.5602225,165.5602225,82.78011126,82.78011126,82.78011126,82.78011126,165.5602225,183.3476844,91.67384222,91.67384222,91.67384222,91.67384222,91.67384222,91.67384222,91.67384222,91.67384222,82.09597811,82.09597811,109.4613041,82.09597811,109.4613041,82.09597811,1655.602225,547.3065207,916.7384222
52,3,4,259.0343453,172.6895636,172.6895636,172.6895636,86.34478178,86.34478178,86.34478178,172.6895636,172.6895636,86.34478178,86.34478178,86.34478178,86.34478178,172.6895636,191.2429877,95.62149387,95.62149387,95.62149387,95.62149387,95.62149387,95.62149387,95.62149387,95.62149387,85.63118854,85.63118854,114.1749181,85.63118854,114.1749181,85.63118854,1726.895636,570.8745903,956.2149387
53,3,5,265.4828489,176.9885659,176.9885659,176.9885659,88.49428296,88.49428296,88.49428296,176.9885659,176.9885659,88.49428296,88.49428296,88.49428296,88.49428296,176.9885659,196.0038664,98.0019332,98.0019332,98.0019332,98.0019332,98.0019332,98.0019332,98.0019332,98.0019332,87.76292525,87.76292525,117.0172337,87.76292525,117.0172337,87.76292525,1769.885659,585.0861683,980.019332
54,3,6,287.8337707,191.8891805,191.8891805,191.8891805,95.94459024,95.94459024,95.94459024,191.8891805,191.8891805,95.94459024,95.94459024,95.94459024,95.94459024,191.8891805,212.5053734,106.2526867,106.2526867,106.2526867,106.2526867,106.2526867,106.2526867,106.2526867,106.2526867,95.15165974,95.15165974,126.8688797,95.15165974,126.8688797,95.15165974,1918.891805,634.3443983,1062.526867
55,3,7,306.6832426,204.4554951,204.4554951,204.4554951,102.2277475,102.2277475,102.2277475,204.4554951,204.4554951,102.2277475,102.2277475,102.2277475,102.2277475,204.4554951,226.421788,113.210894,113.210894,113.210894,113.210894,113.210894,113.210894,113.210894,113.210894,101.3828901,101.3828901,135.1771868,101.3828901,135.1771868,101.3828901,2044.554951,675.8859342,1132.10894
56,3,8,294.0196655,196.0131104,196.0131104,196.0131104,98.00655518,98.00655518,98.00655518,196.0131104,196.0131104,98.00655518,98.00655518,98.00655518,98.00655518,196.0131104,217.0723701,108.5361851,108.5361851,108.5361851,108.5361851,108.5361851,108.5361851,108.5361851,108.5361851,97.19658364,97.19658364,129.5954449,97.19658364,129.5954449,97.19658364,1960.131104,647.9772243,1085.361851
57,3,9,301.9271065,201.2847377,201.2847377,201.2847377,100.6423688,100.6423688,100.6423688,201.2847377,201.2847377,100.6423688,100.6423688,100.6423688,100.6423688,201.2847377,222.9103707,111.4551853,111.4551853,111.4551853,111.4551853,111.4551853,111.4551853,111.4551853,111.4551853,99.81061373,99.81061373,133.0808183,99.81061373,133.0808183,99.81061373,2012.847377,665.4040915,1114.551853
58,3,10,295.245173,196.8301153,196.8301153,196.8301153,98.41505766,98.41505766,98.41505766,196.8301153,196.8301153,98.41505766,98.41505766,98.41505766,98.41505766,196.8301153,217.9771525,108.9885763,108.9885763,108.9885763,108.9885763,108.9885763,108.9885763,108.9885763,108.9885763,97.60171008,97.60171008,130.1356134,97.60171008,130.1356134,97.60171008,1968.301153,650.6780672,1089.885763
59,3,11,286.404012,190.936008,190.936008,190.936008,95.468004,95.468004,95.468004,190.936008,190.936008,95.468004,95.468004,95.468004,95.468004,190.936008,211.449794,105.724897,105.724897,105.724897,105.724897,105.724897,105.724897,105.724897,105.724897,94.67901223,94.67901223,126.238683,94.67901223,126.238683,94.67901223,1909.36008,631.1934149,1057.24897
60,3,12,281.1956053,187.4637369,187.4637369,187.4637369,93.73186843,93.73186843,93.73186843,187.4637369,187.4637369,93.73186843,93.73186843,93.73186843,93.73186843,187.4637369,207.6044689,103.8022345,103.8022345,103.8022345,103.8022345,103.8022345,103.8022345,103.8022345,103.8022345,92.95722489,92.95722489,123.9429665,92.95722489,123.9429665,92.95722489,1874.637369,619.7148326,1038.022345
61,3,13,275.1556042,183.4370695,183.4370695,183.4370695,91.71853474,91.71853474,91.71853474,183.4370695,183.4370695,91.71853474,91.71853474,91.71853474,91.71853474,183.4370695,203.1451844,101.5725922,101.5725922,101.5725922,101.5725922,101.5725922,101.5725922,101.5725922,101.5725922,90.96053032,90.96053032,121.2807071,90.96053032,121.2807071,90.96053032,1834.370695,606.4035355,1015.725922
62,3,14,276.8771504,184.5847669,184.5847669,184.5847669,92.29238347,92.29238347,92.29238347,184.5847669,184.5847669,92.29238347,92.29238347,92.29238347,92.29238347,184.5847669,204.4161882,102.2080941,102.2080941,102.2080941,102.2080941,102.2080941,102.2080941,102.2080941,102.2080941,91.5296365,91.5296365,122.0395153,91.5296365,122.0395153,91.5296365,1845.847669,610.1975767,1022.080941
63,3,15,281.8958953,187.9305968,187.9305968,187.9305968,93.96529842,93.96529842,93.96529842,187.9305968,187.9305968,93.96529842,93.96529842,93.96529842,93.96529842,187.9305968,208.1214874,104.0607437,104.0607437,104.0607437,104.0607437,104.0607437,104.0607437,104.0607437,104.0607437,93.18872571,93.18872571,124.2516343,93.18872571,124.2516343,93.18872571,1879.305968,621.2581714,1040.607437
64,3,16,288.2422732,192.1615155,192.1615155,192.1615155,96.08075773,96.08075773,96.08075773,192.1615155,192.1615155,96.08075773,96.08075773,96.08075773,96.08075773,192.1615155,212.8069675,106.4034838,106.4034838,106.4034838,106.4034838,106.4034838,106.4034838,106.4034838,106.4034838,95.28670188,95.28670188,127.0489358,95.28670188,127.0489358,95.28670188,1921.615155,635.2446792,1064.034838
65,3,17,298.1484585,198.765639,198.765639,198.765639,99.38281951,99.38281951,99.38281951,198.765639,198.765639,99.38281951,99.38281951,99.38281951,99.38281951,198.765639,220.120625,110.0603125,110.0603125,110.0603125,110.0603125,110.0603125,110.0603125,110.0603125,110.0603125,98.56147389,98.56147389,131.4152985,98.56147389,131.4152985,98.56147389,1987.65639,657.0764926,1100.603125
66,3,18,290.0805344,193.3870229,193.3870229,193.3870229,96.69351146,96.69351146,96.69351146,193.3870229,193.3870229,96.69351146,96.69351146,96.69351146,96.69351146,193.3870229,214.1641411,107.0820705,107.0820705,107.0820705,107.0820705,107.0820705,107.0820705,107.0820705,107.0820705,95.89439154,95.89439154,127.8591887,95.89439154,127.8591887,95.89439154,1933.870229,639.2959436,1070.820705
67,3,19,287.0751232,191.3834155,191.3834155,191.3834155,95.69170774,95.69170774,95.69170774,191.3834155,191.3834155,95.69170774,95.69170774,95.69170774,95.69170774,191.3834155,211.94527,105.972635,105.972635,105.972635,105.972635,105.972635,105.972635,105.972635,105.972635,94.90086719,94.90086719,126.5344896,94.90086719,126.5344896,94.90086719,1913.834155,632.6724479,1059.72635
